headword,pronunciation
거짓부렁,k əː ɟ i t p u r ə ŋ
거짓부렁이,k əː ɟ i t p u r ə ŋ i
건망,k ə n m a ŋ
건전지,k ə n c ə n ɟ i
건축가,k ə n cʰ u k k a
건축물,k ə n cʰ u ŋ m u l
걸레,k ə l r e
걸손국,k ə l s o n g u k
검독수리,k ə m d o k s u r i
검둥이,k ə m t u ŋ i
검사하다,k ə m s a h a d a
검색어,k ə m s ɛ k ə
검어지다,k ə m ə ɟ i d a
검은담비,k ə m ɨ n d a m b i
검은빛보안경,k əː m ɨ n b i t b o aː n g j ə ŋ
검전기,k ə m c əː n g i
검측,k əː m cʰ ɨ k
검측스럽다,k əː m cʰ ɨ k s ɨ r ə p t a
겁쟁이,k ə p ɟ ɛ ŋ i
겉넓이,k ə t n ə l i
게,k e
게,k eː
게민,k e m i n
게사니,k e s a n i
게시하다,k e ʃ i h a d a
게으름쟁이,k e ɨ r ɨ m ɟ ɛ ŋ i
게이,k e i
게임기,k e i m g i
겨울방학,k j ə u l p a ŋ h a k
격노,g j ə ŋ n o
격렬,k j ə ŋ ɲ ə l
격렬하다,k j ə ŋ ɲ ə l h a d a
견,k j ə n
견고하다,k j ə n g o h a d a
결,k j ə l
결근,k j ə l g ɨ n
결박,k j ə l b a k
결박되다,k j ə l b a k t ø d a
결박하다,k j ə l b a k t a d a
결빙,k j ə l b i ŋ
결합하다,k j ə l h a p h a d a
겸손하다,k j ə m s o n h a d a
겸임하다,k j ə m i m h a d a
겹다,k j ə p t a
경고표,k j ə ŋ g o pʰ j o
경고하다,k j ə ŋ g o h a d a
경기대회,k j ə ŋ k i t ɛ h ø k j ə ŋ k i t ɛ h w e
경첩,k j ə ŋ cʰ ə p
경축일,k j ə ŋ cʰ u k i l
경치,k j ə ŋ cʰ i
계단공포증,k e d a n k o ŋ pʰ a c ɨ ŋ
계단승강기,k e d a n s ɨ ŋ g a ŋ g i
계란덮밥,k j e r a n t ə p b a p
계란말이,k j e r a n m a l i
계산기계,k j e s a n g i k j e
계산기구,k j e s a n g i k u
계약자,k e j a k c a
계엄,k e ə m
계쟁,k j eː ɟ ɛ ŋ k eː ɟ ɛ ŋ
계정,k j eː ɟ ə ŋ
계피,k e pʰ i
고,k o
고ᄋᆞ다,k o ɒ d a
고고학자,k o g o h a k c a
고공살이,k o k o ŋ s a l i
고기,k o g i
고기,k oː g i
고기결,k o g i k j ə l
고깃간,k o g i t k a n
고깃결,k o g i t k j ə l
고깃깃,
고대,k o d ɛ
고대,k oː d ɛ
고대교회슬라브어,k o d ɛ g j o h w e s ɨ l l a b ɨ ə k o d ɛ g j o h œ s ɨ l l a b ɨ ə
고대프로이센어,k o d ɛ pʰ ɨ r o i s e n ə
고도리,k o d o r i
고등어,k o d ɨ ŋ ə
고렙,k o r e p
고려,c o s ə n
고려인,k o r j ə i n
고령화사회,k o r j ə ŋ h w a s a h ø k o r j ə ŋ h w a s a h w e
고무하다,k o m u h a d a
고뿔,k o p u l
고사포국,g o s a pʰ o g u k
고소공포증,k o s o k o ŋ pʰ a c ɨ ŋ
고양시,k o j a ŋ ʃ i
고연,k o j ə n
고용하다,k o j o ŋ h a d a
고위평탄면,k o w i pʰ j ə ŋ tʰ a n m j ə n
고자,k o ɟ a
고자,k oː ɟ a
고자국,g o ɟ a g u k
고자미동국,g o ɟ a m i d o ŋ g u k
고자질,k oː ɟ a ɟ i l
고전적,k o ɟ ə n ɟ ə k
고조곤히,k o ɟ o g o n h i
고차국,g o cʰ a g u k
고택,k o tʰ ɛ k
곧추치기,k o t cʰ u cʰ i g i
골갱이,k o l g ɛ ŋ i
골동반,k o l t o ŋ b a n
골드핀치,k o l d ɨ pʰ i n cʰ i
골포국,k o l pʰ o g u k
골프공,k o l pʰ ɨ g o ŋ
곱실곱실,k o p s ˈ i l g o p s ˈ i l
공,k oː ŋ
공간도형,k o ŋ g a n d o h j ə ŋ
공갈빵,k o ŋ g a l p aː ŋ
공감하다,k o ŋ g a m h a d a
공격적,k o ŋ g j ə k c ə k
공고하다,k o ŋ g o h a d a
공공부조,k o ŋ g o ŋ b u ɟ o
공공요금,k o ŋ g o ŋ j o g ɨ m
공구,k o ŋ g u
공구,k o ŋː g u
공국,k o ŋ g u k
공깃밥,k o ŋ g i t b a b
공동체,k o ŋ d o ŋ cʰ e
공상,k o ŋ s a ŋ
공손,k o ŋ s o n
공손하다,k o ŋ s o n h a d a
공습,k o ŋ s ɨ p
공유하다,k o ŋ j u h a d a
공익광고,k o ŋ i k g w a ŋ g o
공자,k oː ŋ ɟ a
공자,k o ŋ ɟ a
공작,k o ŋ ɟ a k
공작,k oː ŋ ɟ a k
공작석,k o ŋ ɟ a k s ə k
공적,k o ŋ ɟ ə k
공정하다,k o ŋ ɟ ə ŋ h a d a
공중습격,k o ŋ ɟ u ŋ k j ə k s ɨ p
공중화장실,k o ŋ ɟ u ŋ h w a ɟ a ŋ ʃ i l
공통인수,k oː ŋ tʰ o ŋ i n s u
공통하다,k oː ŋ tʰ o ŋ h a d a
공평하다,k o ŋ pʰ j ə ŋ h a d a
공포증,k o ŋ pʰ a c ɨ ŋ
공표,k o ŋ pʰ j o
공허,k o ŋ h ə
공화,k oː ŋ h w a
공휴,k o ŋ h j u
곶,k o t
과거,k w aː g ə
과거,k w a g ə
과기,k w a g i
과도음,k w a d o ɨ m
과로사,k w a r o s a
과실단물,k w a ʃ i l d a m m u l
과장하다,k w a ɟ a ŋ h a d a
관료제,k w a l l j o ɟ e
관리자,k w a l l i ɟ a
관종,k w a n ɟ o ŋ
광,k w a̠ː ŋ
광역시,k w a ŋ j ə k ʃ i
광장공포증,k w a ŋ ɟ a ŋ g o ŋ pʰ o c ɨ ŋ
괜,k w ɛ n
괭이,k w e ŋ i
괴다,k ø d a
구,k u
구각형,k u g a k h j ə ŋ
구경,k u g j ə ŋ
구경,k uː g j ə ŋ
구김,k u k i m
구렁이,k u r ə ŋ i
구려,k u r j ə
구룸,k u r u m
구베르니야,k u b e r ɨ n i j a
구부러지다,k u b u r ə ɟ i d a
구부정하다,k u b u ɟ ə ŋ h a d a
구불구불,k u b u l g u b u l
구수,k u s u
구야,k u j a
구야국,k u j a g u k
구야시,k u j a ʃ i
구자라트어,k u ɟ a r a tʰ ɨ ə
구제하다,k uː ɟ e h a d a
구제하다,k u ɟ e h a d a
구차국,g u cʰ a g u k
구하다,k u h a d a
구하다,k uː h a d a
국,k u k
국경,k u k k j ə ŋ
국경일,k u k g j ə ŋ i l
국교,k u k g j o
국립공원,k u ŋ n i p g o ŋ w ə n
국립국어원,k u ŋ n i p g u k ə w ə n
국밥,k u k p a p
국방,k u k b a ŋ
국법,k u k b ə p
국수발,k u k s u b a l
국수오리,k u k s u o r i
국숫발,k u k s u t b a l
국어학,k u k ə h a k
국장,k u k ɟ a ŋ
국제어,k u k ɟ e ə
국체,k u k cʰ e
군,k uː n
군,k u n
군필,k u n pʰ i l
굳어진말,k u t ə c i n m a l
굳은살,k u t ɨ n s a l
굳히다,k u cʰ i d a
굴라크,k u l l a kʰ ɨ
권력,k w ə l l j ə k
귀뚜라미,k w i t u r a m i
귀띔,k y t ɨ j m k y t i m
귀띔하다,k y t ɨ j m h a d a k y t i m h a d a
귀리,k w i r i
귀밥,k w i b a b
귀엣말하다,k w i e t m a l h a d a
귀혈종,k w i h j ə l c o ŋ
귓속말,k w i t s o k m a l
귓속말하다,k w i t s o k m a l h a d a
균,k j u n
그나저나,k ɨ n a ɟ ə n a
그네,k ɨ n e
그느드르순,k ɨ n ɨ d ɨ r ɨ s u n
그래프,k ɨ r ɛ pʰ ɨ
그러나저러나,k ɨ r ə n a ɟ ə r ə n a
그루지야어,k ɨ r u ɟ i j a ə
그리스인,k ɨ r i s ɨ i n
그린란드,k ɨ r i n r a n d ɨ
그림책,k ɨ r i m cʰ ɛ k
그물친구,k ɨ m u l cʰ i n g u
극단적,k ɨ k t a n ɟ ə k
극류,k ɨ ŋ n j u
극심,k ɨ k ʃ i m
극심하다,k ɨ k ʃ i m h a d a
극열,k ɨ ŋ j ə l
극열지옥,k ɨ ŋ j ə l ɟ i j o k
극한,k ɨ k h a n
근,k ɨ n
근거지,k ɨ n g ə ɟ i
근대,k ɨ n d ɛ
근대,k ɨː n d ɛ
근대소설,k ɨ n d ɛ s o s ə l
근대적,k ɨ n d ɛ ɟ ə k
근면,k ɨ n m j ə n
근면하다,k ɨ m j ə n h a d a
근사하다,k ɨː n s a h a d a
근점,k ɨː n c ə m
근지점,k ɨː n ɟ i c ə m
근호,k ɨ n h o
글리세롤,g ɨ l l i s e r i n
금관국,g ɨ m g w a n g u k
금속공학자,k ɨ m s o k g o ŋ h a k c a
금지되다,k ɨː m ɟ i d ø d a k ɨː m ɟ i d w e d a
급소,k ɨ p s o
급조어,k ɨ p c o ə
기공친,k i g o ŋ cʰ i n
기니피그,k i n i pʰ i g ɨ
기도하다,k i d o h a d a
기러기,k i r ə g i
기름종이,k i r ɨ m ɟ o ŋ i
기모노,k i m o n o
기미가요,k i m i g a y o
기반시설,k i b a n ʃ i s ə l
기병,k i b j ə ŋ
기병총,k i b j ə ŋ cʰ o ŋ
기소하다,k i s o h a d a
기씨조선,k i s i ɟ o s ə n
기어오르다,k i ə o r ɨ d a
기적,k i ɟ ə k
기침쇠,k i cʰ i m s ø k i cʰ i m s w e
기필코,k i pʰ i l kʰ o
기회비용,k i h w e b i j o ŋ k i h ø b i j o ŋ
김,k i m
김,k iː m
김초밥,k iː m cʰ o b a p
김치냉장고,k i m cʰ i n ɛː ŋ ɟ a ŋ g o
깁다,k i p d a
깊숙,k i p s u k
깊숙하다,k i p s u k h a d a
까까,k a k a
까마귀,k a m a g w i k a m a g y
까옌느,k a j e n n ɨ
까치,k a cʰ i
깔,
깡통,k a ŋ tʰ o ŋ
깨,k ɛ
깨다,k ɛː d a
깨다,k ɛ d a
깽깽이,k ɛ ŋ k ɛ ŋ i
껌둥이,k əː m t u ŋ i
꼴,k o l
꼴값,k o l k a p
꼴랑,k o l l a ŋ
꼴리다,k o l l i d a
꽃가루,k o t g a r u
꽃다발,k o t t a b a l
꽃뱀,k o t p ɛ m
꽃잎묶음표,k o t i p m u k ɨ m pʰ j o
꽃차례,k o t cʰ a r e
꾀꼬리,k ø k o r i k w e k o r i
꾀다,k ø d a k w e d a
꾸란,k u r a n
꾸러기,k u r ə g i
꾸준,k u c u
꾸짖다,k u ɟ i t d a
꿀물,k u l m u l
꿈적,k u m c ə k
꿰매다,k w e m ɛ d a
끄덕,k ɨ d ə k
끌어안다,k ɨː r ə a n t a
끝바꿈꼴,k ɨ t b a k u m k o l
끼리,k͈ i ɾ i
나다,n a d a
나라글,n a r a g ɨ l
나마,n a̠ m a̠
나모,n a m o
나무늘보,n a m u n ɨ l b o
나무새,n a m u s ɛ
나무저가락,n a m u c ə k a r a k
나비,n a b i
나유타,n a j u tʰ a
나잘하다,n a c a l h a d a
낙,n a k
난반사,n a n b aː n s a
날김치,n a l g i m cʰ i
날름쇠,n a l l ɨ m s w e n a l l ɨ m s ø
날옺,n a r o t
남가라국,n a m g a r a g u k
남동무,n a m d o ŋ m u
남성공포증,n a m s ə ŋ g o ŋ pʰ o c ɨ ŋ
남성애,n a m s ə ŋ ɛ
남성애자,n a m s ə ŋ ɛ ɟ a
남수단,n a m s u d a n
남아공,n a m a g o ŋ
남자아이,n a m ɟ a a i
남친,n a m cʰ i n
낭송,n a ŋ s o ŋ
낭송시,n a ŋ s o ŋ ʃ i
낭송하다,n a ŋ s o ŋ h a d a
낮전,n a t ɟ ə n
내객,n ɛ g ɛ k
내국인,n ɛ g u k i n
내기,n ɛ g i
내려디디기,n ɛ r j ə d i d i g i
내려받기,n ɛ r j ə p a t k i
내로라하다,n ɛ r o r a h a d a
내부기생,n ɛ b u g i s ɛ ŋ
내비게이션,n ɛ p o k e i s j ə n
내음,n ɛ ɨ m
내일모레,n ɛ i l m o r ɛ
내파음,n ɛ pʰ a ɨ m
냉,n ɛː ŋ
냉각하다,n ɛ ŋ g a k h a d a
냉담,n ɛ ŋ d a m
냉담하다,n ɛ ŋ d a m h a d a
냉동고,n ɛː ŋ d o ŋ g o
냉소,n ɛ ŋ s o
냉수,n ɛː ŋ s u
냉전,n ɛ ŋ ɟ ə n
냉정,n ɛ ŋ ɟ ə ŋ
냐,ɲ j a̠
너끈,n ə k ɨ n
너도밤나무,n ə d o b a m n a m u
넋,n ə k
널,n ə l
널뛰기,n ə lː t ˈ w i g i
넓적다리,n ə p c ə k d a r i
넘,n ə m
넘실,n ə m ʃ i l
넘실거리다,n ə m ʃ i l g ə r i d a
넘실넘실,n ə m ʃ i l n ə m ʃ i l
넙적,n ə p c ə k
넙적고무신,n ə p c ə k g o m u ʃ i n
네,n eː
네,n e
네덜란드인,n e d ə l l a n d ɨ i n
네임스페이스,n e i m s ɨ pʰ e i s ɨ
네제곱,n eː c e k o p
네트워크,n e tʰ ɨ w ə kʰ ɨ
네팔인,n e pʰ a l i n
녀동무,ɲ ə d o ŋ m u
녀동생,n j ə d o ŋ s ɛ ŋ
녀아,n j ə a
녀탕,ɲ j ə tʰ a ŋ
녘,n j ʌ̹ k̚
노계,n o g j e
노동력,n o d o ŋ n j ə k
노랭이,n o r ɛ ŋ i
노르웨이인,n o r ɨ w e i i n
노른어,n o r ɨ n ə
노른자,n o r ɨ n ɟ a
노른자위,n o ɾ ɨ n ɟ a w i
노면,n o m j ə n
노모,n o m o
노상,n o s a ŋ
노상방뇨,n o s a ŋ p a ŋ n j o
노서아,n o s ə a
노쇠,n o s ø n o s w e
노자,n o ɟ a
노장,n o ɟ a ŋ
노장,n oː ɟ a ŋ
녹나다,n o k n a d a
녹록하다,n o ŋ n o kʰ a d a
녹물,
녹슬다,n o k s ɨ l d a
녹이다,n o k i d a
논담,n o n d a m
논리적,n o l l i ɟ ə k
논리학,n o l l i h a k
논물,
논술,n o n s u l
논쟁되다,n o n ɟ ɛ ŋ d ø d a n o n ɟ ɛ ŋ d w e d a
논쟁하다,n o n ɟ ɛ ŋ h a d a
논증,n o n ɟ ɨ ŋ
놀란흙,n oː l l a n h ɨ k
농구공,n o ŋ g u g o ŋ
농담,n oː ŋ d a m
농담,n o ŋ d a m
농약,n o ŋ j a k
농축,n o ŋ cʰ u k
농학,n o ŋ h a k
뇌랗다,n w eː r a tʰ a
뇌사,n ø s a n w e s a
뇌염모기,n w e j ə m m o g i n ø j ə m m o g i
뇌종양,n ø c o ŋ j a ŋ n w e c o ŋ j a ŋ
누,n u
누구누구,n u g u n u g u
누다,n u d a
누렇다,n u r ə tʰ a
누리집,n u r i ɟ i p
누수기,n u s u g i
눈,n u n
눈,n uː n
눈꺼풀,n u n k ə pʰ u l
눈싸움,n u n s a u m
느낌씨,n ɨ k i m s i n ɨ k i m ʃ i
늘큰늘큰,n ɨ l kʰ ɨ n n ɨ l kʰ ɨ n
늘큰늘큰하다,n ɨ l kʰ ɨ n n ɨ l kʰ ɨ n h a d a
능,n ɨ ŋ
능격,n ɨ ŋ g j ə k
능동사,n ɨ ŋ d o ŋ s a
늦,n ɨ t
늦겨울,n ɨ t g j ə u l
늦봄,n ɨ t p o m
늦여름,n ɨ t j ə r ɨ m
늪,n ɨ p
니,n i
니승,n i s ɨ ŋ
니야기,n i j a g i
니제르,n i ɟ e r ɨ
니카라과,n i kʰ a r a g w a
님,n i m
다ᄅᆞ다,t a r ɒ d a
다각,t a g a k
다라국,t a r a g u k
다랗다,t a̠ ɾ a̠ tʰ a̠
다사마,t a s a m a
다운로드,t a u n r o d ɨ
다윈주의,t a w i n ɟ u ɨ j
다지,d a ɟ i
단결하다,t a n g j ə l h a d a
단계적,t a n g e ɟ ə k
단군조선,t a n g u n ɟ o s ə n
단념,t aː n ɲ ə m
단념하다,t aː n ɲ ə m h a d a
단단,t a n t a n
단무지,t a n m u ɟ i
단물,t a n m u l
단물얼음,t a n m u l ə l ɨ m
단식하다,t a n ʃ i k h a d a
단언하다,t a n ə n h a d a
단열적,t aː ɲ ə l c ə k
단일어,t a n i l ə
단정,t a n ɟ ə ŋ
단조,t a n ɟ o
단추구멍,t a n cʰ u g u m ə ŋ
달,t a l
달걀덮밥,t a l g j a l t ə p b a p
달걀말이,t a l g j a l m a l i
달다,t a l d a
달다,t aː l d a
달말루,t a l m a l l u
달말루국,t a l m a l l u g u k
닭갈비,t a k g a l b i
닭고기덮밥,t a k g o g i t ə p b a p
닭꼬치,t a k k o cʰ i
닮은비,t aː m ɨ n b i
닮음도형,t aː m ɨ m d o h j ə ŋ
담,t a m
담,t aː m
담날,t a m n a l
담량,t a m r j a ŋ
담뱃대,t aː m b ɛ t t ɛ
당,t a ŋ
당구,t a ŋ g u
당구공,t a ŋ g u g o ŋ
당선,t a ŋ s ə n
당연,t a ŋ j ə n
대,t ɛː
대,t ɛ
대간,d ɛ g a n
대괄호,t ɛ g w a l h o
대기안정지수,t ɛː g i a n ɟ ə ŋ ɟ i s u
대륙괴,t ɛ r j u k k ø
대못,t ɛ m o t
대분수,t ɛ b u n s u
